entpName,itemName,itemSeq,efcyQesitm,useMethodQesitm,depositMethodQesitm,itemImage
신신제약(주),에어신신파스,196700061,"이 약은 삠, 타박상, 근육통, 관절통, 골절통, 요(허리)통, 어깨결림, 신경통, 류마티스통증, 피부 가려움, 벌레 물린데, 동창(언 상처)의 진통·소염(항염)에 사용합니다.",1일 1회~수회(여러 차례) 환부(질환 부위)에 적당량을 뿌립니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.화기 근처에 두지 마십시오.밀폐된 장소에 보관하지 마십시오.사용 후 잔가스가 없도록 하여 버리십시오.,
일동제약(주),후라베린큐시럽,196900042,"이 약은 설사, 체함, 묽은 변, 토사에 사용합니다.","성인은 1일 1회 20 mL, 1일 3회 식후 잘 흔들어서 복용합니다.1주 이상 계속하여 복용하지 마십시오.만 19세 미만의 소아는 이 약을 복용하지 마십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)유한양행,코푸시럽에스,196900058,"이 약은 기침, 가래에 사용합니다.","성인은 1회 20 mL씩, 11세 이상~15세 미만은 1회 13 mL씩, 8세 이상~11세 미만은 1회 10 mL씩, 5세 이상~8세 미만은 1회 7 mL씩, 3세 이상~5세 미만은 1회 5 mL씩, 2세 이상~3세 미만은 1회 4 mL씩, 1일 3~4회 식후 및 취침 시에 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
한림제약(주),엔클비액(염화나트륨),199303012,이 약은 비점막 건조 증상의 완화에 사용합니다.,"성인은 증상에 따라 필요시 각 비강에 2방울씩 점적합니다.연령, 증상에 따라 적절히 증감합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
동성제약(주),지노콜시럽(구연산부타미레이트),199400693,"이 약은 급성기침, 경련성기침, 흡연성기침, 기관지경 검사 전·후의 기침 억제에 사용합니다.","성인은 1회 15 mL (22.5 mg), 1일 4회, 12~14세는 1회 15 mL (22.5 mg), 6~11세는1회 10 mL (15 mg), 3~5세는 1회 5 mL (7.5 mg), 1일 3회 복용합니다.",습기를 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
동화약품(주),판콜에이내복액,196800036,"이 약은 감기의 여러 증상(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 가래, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.","성인 1회 1병(30 mL)씩, 1일 3회 식후 30분에 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
일동제약(주),아로나민골드정,197000037,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시, 노년기(간유, 비타민 D, E 함유시)의 비타민 B1, B2, B6, E, C의 보급과 신경통, 근육통, 관절통(요통, 어깨결림 등) 증상의 완화, 각기, 눈의 피로에 사용합니다.","성인은 1회 1정씩, 1일 2회 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154609810414600027
오스템파마주식회사,제로미아액,199502669,"이 약은 약물치료, 구강 또는 인후 부근의 방사선 치료, 타액선 감염, 구강 또는 인후감염, 치아 또는 구강수술, 발열, 정서적요인으로 인한 타액분비감소에 사용합니다.",구강내 습기를 유지하는데 필요한 만큼 또는 의사의 지시에 따라 구강이나 인후에 1~2회 동안 직접 분무합니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)퍼슨,성광멸균바세린거즈(백색바셀린),199600443,이 약은 경미한 화상 및 상처에 사용합니다.,1일 1~2회 환부의 크기에 따라 적당히 절단하여 환부에 부착합니다.,빛을 피해 실온에서 보관하십시오.,
(주)대웅제약,대웅우루사연질캡슐,197000040,"이 약은 만성 간질환의 간기능 개선과 간기능 장애에 의한 육체피로, 전신권태 증상의 개선에 사용합니다.","성인은 1회 1캡슐씩, 1일 3회 복용합니다.",어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F68-A
삼일제약(주),액티피드정,197000053,"이 약은 코감기, 알레르기 및 혈관운동성 코염에 의한 재채기, 콧물, 코막힘, 눈물의 완화에 사용합니다.","성인은 1회 1정, 소아(12~14세)는 1회 1/2정을 1일 3회 매 식후에 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151369816808500002
일양약품(주),보나링에이정(디멘히드리네이트),197000076,"이 약은 멀미·메니에르증후군·방사선숙취에 의한 구역·구토·어지러움, 수술후 구역·구토에 사용합니다.","성인은 1회 1정(50 mg) 1일 3~4회 복용합니다.예방목적으로는 30분~1시간전에 1~2정(50~100 mg)을 복용합니다.윈칙적으로 1일 4정(200 mg)을 초과하지 않습니다.연령, 증상에 따라 적절히 증감합니다.",실온에서 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9gg
(주)한도상사,미보(MEBO)연고,199604959,이 약은 화상 또는 상처에 사용합니다.,1일 2~3회 상처부위에 얇게 바릅니다.,서늘한 곳에 실온에서 보관하십시오.,
한림제약(주),한림포비돈점안액(수출명:한비돈점안액),199803472,"이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.",1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)넥스팜코리아,건위황정,197000208,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림, 식욕감퇴(식욕부진), 소화불량, 과식에 사용합니다.","성인 1회 5정, 1일 3회 식간 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428268052300149
(주)유한양행,쎄레스톤지크림,197100059,"이 약은 2차 감염된 알레르기성 또는 염증성 피부질환 (습진, 접촉피부염, 지루피부염, 아토피피부염, 광피부염, 만성단순태선, 간찰진(피부스침증), 박탈피부염, 가려움, 건선(마른비늘증)), 1도 화상에 사용합니다.",1일 1~3회 환부(질환 부위)에 적당량을 바릅니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)에이프로젠바이오로직스,키모랄에스정,197100081,"이 약은 수술 및 외상후, 유즙울체의 염증성 부종의 완화에 사용합니다.","성인은 첫날 1회 2정 1일 4회, 이후 유지량으로 1회 1정 1일 4회 복용합니다.체내에서의 작용기전은 아직 해명되지 않은 점이 많고 용량, 효과관계도 밝혀진 것이 아니므로 목적 없이 투여하지 않습니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NjeveJRSOJ
제일약품(주),기모타부정(수출명:케이티정),197200084,"이 약은 수술 및 외상후, 유즙울체의 염증성 부종의 완화에 사용합니다.","성인은 첫날 1회 2정, 1일 4회, 이후 유지량으로 1회 1정 1일 4회 복용합니다.체내에서의 작용기전은 아직 해명되지 않은 점이 많고 용량, 효과관계도 밝혀진 것이 아니므로 목적 없이 투여하지 않습니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P2JYwFs9n_
동화약품(주),포스테리산좌제,199806423,이 약은 치질에 사용합니다.,"아침 ∙ 저녁 1회 1개씩, 1일 2회 가능한 한 배변 후 항문내에 삽입합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
동화약품(주),포스테리산연고,199806424,이 약은 치질에 사용합니다.,"1일 2회, 가능한 한 배변 후 적량을 환부(질환 부위)에 바릅니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
천혜당제약(주),뇌선,197200483,"이 약은 두통, 치통, 발치후 동통, 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통, 타박통, 골절통, 염좌통, 월경통(생리통), 외상통의 진통, 오한, 발열 시의 해열에 사용합니다.","성인은 1회 1포씩, 1일 3회를 한도로 하고 공복 시를 피하여 복용합니다.복용간격은 4시간 이상으로 합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)퍼슨,성광관장약,197300075,"이 약은 변비, 장내용물의 배설에 사용합니다.","성인은 1회 15 g(30 mL), 6~11세는 1회 10 g(20 mL), 1~5세는 1회 5 g(10 mL), 1세 미만은 1회 2.5 g(5 mL)을 항문내 주입합니다.연령, 증상에 따라 적절히 증감합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
안국약품(주),안국니트로푸라존연고,197400199,이 약은 화상 또는 외상에 의한 2차 세균감염에 사용합니다.,1일 1~3회 적당량을 환부에 바르고 증상에 따라 적절히 증감합니다.,실온에서 보관하십시오.,
(주)한국팜비오,로와치넥스캡슐,200009088,"이 약은 신증, 요로결석증의 보조요법에 사용합니다.",성인은 1회 1캡슐 1일 3~4회 복용합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147428288104000061
에이치엘비제약(주),잘젠정,200101844,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Ne_AD1Jdwa
태극제약(주),태극아즈렌에스연고(구아야줄렌),200200836,"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.,습기와 빛을 피해 실온에서 보관하십시오.,
삼남제약(주),마그밀정(수산화마그네슘),197400246,"이 약은 위·십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선, 변비증에 사용합니다.","위.십이지장궤양, 위염, 위산과다에는 산화마그네슘으로서 1일 2~5정(1~2.5 g)을 수회(여러 차례) 분할 복용, 변비증에는 1일 2~4정(1~2 g)을 1~2회 분할 복용합니다.연령, 증상에 따라 적절히 증감합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OZiugAPfPm
삼진제약(주),트레스탄캡슐,197400262,이 약은 식욕부진에 사용합니다.,"성인은 1일 2회, 1회 1캡슐을 아침ㆍ저녁 식전에 8일간 복용하고, 이후부터는 1일 2회, 1회 2캡슐을 아침ㆍ저녁 식전에 복용합니다.",빛을 피해 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152855882703400021
부광약품(주),뮤코졸정(브롬헥신염산염),197400277,이 약은 급ㆍ만성 기관지염의 객담배출곤란에 사용합니다.,"성인 및 14세 이상은 1회 1~2정(8~16 mg)씩 1일 3회, 6세 이상 14세 미만 소아는 1회 1/2~1정(4~8 mg)씩 1일 2~3회, 2세 이상 6세 미만의 소아는 1회 1/2정(4 mg)씩 1일 1~2회 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NvwvvpENiE
신일제약(주),"신일브롬헥신염산염정(수출명 : BIVOTUME, BIVO)",197400343,이 약은 급ㆍ만성 기관지염의 객담배출곤란에 사용합니다.,"성인 및 14세 이상은 1회 1~2정(8~16 mg)씩 1일 3회, 6세 이상 14세 미만 소아는 1회 1/2~1정(4~8 mg)씩 1일 2~3회, 2세 이상 6세 미만의 소아는 1회 1/2정(4 mg)씩 1일 1~2회 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427572144400033
대원제약(주),프리비투스현탁액(레보클로페라스틴펜디조산염),200201397,이 약은 기침의 완화에 사용합니다.,"성인은 1일 3회 1회 5 mL, 2~4세는 1일 2회 1회 2 mL, 4~7세는 1일 2회 1회 3 mL,7~15세는 1일 2회 1회 5 mL를 복용합니다.연령, 증상에 따라 적절히 증감할 수 있습니다.흔들어 사용하십시오.",실온에서 보관하십시오.,
일양약품(주),노루모현탁액,200300960,"이 약은 위.십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선에 사용합니다.","성인은 1회 1포씩(1.212 g), 1일 3회 식간에 경구 복용합니다.연령, 증상에 따라 적절히 증감합니다.",실온에서 보관하십시오.,
(주)녹십자,유락신연고(크로타미톤),197400416,이 약은 피부가려움에 사용합니다.,가볍게 목욕을 한 후 1일 1회 얼굴과 두피를 제외하고 잘 건조된 피부 전체에 바르고 가볍게 마사지합니다.필요시 24시간 후에 반복하여 사용합니다.,실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)종근당,낙센정(나프록센),197500016,"이 약은 류마티양 관절염, 골관절염(퇴행성 관절질환), 강직성 척추염, 건염(힘줄염), 급성통풍, 월경곤란증과활액(윤활)낭염, 골격근장애(삠, 타박상, 상처, 허리통증), 수술후 통증, 편두통, 발치(이를 뽑음)후 통증에 사용합니다.","류마티양 관절염, 골관절염, 강직성 척추염에 성인은1회 1~2정(250~500 mg) 1일 2회(12시간마다), 급성통풍에 성인은초회량(처음 복용량)으로 3정(750 mg) 복용하고 발작이 없어질때까지 8시간 간격으로 1정(250 mg)을 복용, 골격근장애, 수술후 동통(통증), 발치(이를 뽑음)후 동통(통증), 월경곤란증, 건염(힘줄염), 활액(윤활)낭염에 성인은초회량(처음 복용량)으로 2정(500 mg)을 복용한 후 6~8시간 간격으로 1정(250 mg)씩 복용하고 1일 총용량이 5정(1250 mg)을 초과하지 않도록 합니다.편두통에성인은 초회량(처음 복용량)으로 3정(750 mg)을 복용하고 필요하면 1일 1~2정(250-500 mg)을 더 투여할 수 있으며 초회량(처음 복용량)의 투여 30분 후에 투여합니다. 1일 총용량이 5정(1250 mg)을 초과하지 않도록 합니다.",암소에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427297681200156
오스틴제약(주),이벤캡슐,200301479,"이 약은 피로, 임신∙수유기, 병중∙병후의 비타민 B2, B6의 보급과 구각염, 구순염, 구내염, 설염, 습진, 피부염, 옻, 짓무름, 여드름 및 피부가 튼 데의 완화에 사용합니다.","성인은 1회 1캡슐씩, 1일 1~2회 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427269602400092
고려제약(주),레보골드액,200301508,"이 약은 급ㆍ만성 간질환, 경증(가벼운증상)의 간부전(간기능상실)증, 간경변의 보조 치료에 사용합니다.",1일 2~3회 1회 1병씩 복용합니다.상부 캡을 열고 산제부의 용기마개를 세게 누르고 흔들어 섞어 용해 후 복용합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
일동제약(주),암포젤정(건조수산화알루미늄겔),197500088,"이 약은 위.십이지장궤양, 위염, 위산과다의 제산작용 및 증상의 개선에 사용합니다.","성인은1회 1~2정(300~600 mg), 1일 3회 식간에 복용합니다.연령, 증상에 따라 적절히 증감합니다.",실온에서 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v2fV
삼일제약(주),포타딘액(포비돈요오드),197600172,"이 약은 찢긴 상처, 화상, 창상(상처), 욕창의 살균소독, 궤양, 농양(고름집)의 살균소독, 감염피부면의 소독, 수술 부위의 살균소독, 주사 및 카테터부위의 소독에 사용합니다.",1일 수회(여러 차례) 환부(질환 부위)에 적당량을 바릅니다.,빛을 피해 실온에서 보관하십시오.,
삼일제약(주),액티피드시럽,197600174,"이 약은 코감기, 알레르기 및 혈관운동성 코염에 의한 재채기, 콧물, 코막힘, 눈물의 완화에 사용합니다.",성인 및 12세 이상의 소아는 1회 10 mL를 1일 3회 매 식후에 복용합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
한미약품(주),티어드롭점안액2%(포비돈),200301820,"이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.",1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)씨엠지제약,리렌스연고(구아야줄렌),200402866,"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.,습기와 빛을 피해 실온에서 보관하십시오.,
태극제약(주),태극아즈렌에스크림(구아야줄렌),200501105,"이 약은 습진, 열상(화상), 그 외의 질환에 따른 미란 및 궤양에 사용합니다.",1일 수회(여러 차례) 환부에 도포합니다.,습기와 빛을 피해 실온에서 보관하십시오.,
삼진제약(주),페리나정,197600345,"이 약은 코감기, 알레르기 및 혈관운동성 코염에 의한 재채기, 콧물, 코막힘, 눈물의 완화에 사용합니다.",성인은 1회 1정 1일 3회 매 식후에 복용합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/149140683129300030
영일제약(주),로프민캡슐(로페라미드염산염),197600412,,,실온에서 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1N-191WfV1w
신일제약(주),신일비사코딜정,197600483,"이 약은 급만성 변비, 수술전후, 장내분변제거, X-선 촬영시 장내분변 제거에 사용합니다.",성인은 1일 1회 2정(10 mg)을 취침시에 복용합니다.증상에 따라 1회량을 3정(15 mg)까지 양을 늘릴수 있습니다.,습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Nk2K_pikjU
